ID,FINE_ART_Scholarship _19/FAL,CLASS_19/FAL,ALTCUM_GPA_19_FAL,FINE_ARTS_Scholarship _19/FAL,MAJOR_FIXED_19/FAL,RETURN_BIN_19/FAL,Role_19/FAL,SPORT_19/FAL,Sport_19/FAL,FINE_ART_Scholarship _20/SPR,CLASS_20/SPR,ALTCUM_GPA_20/SPR,FINE_ARTS_Scholarship _20/SPR,MAJOR_FIXED_20/SPR,RETURN_BIN_20/SPR,Role_20/SPR,SPORT_20/SPR,Sport_20/SPR,FINE_ART_Scholarship _20/FAL,CLASS_20/FAL,ALTCUM_GPA_20/FAL,FINE_ARTS_Scholarship _20/FAL,MAJOR_FIXED_20/FAL,RETURN_BIN_20/FAL,Role_20/FAL,SPORT_20/FAL,Sport_20/FAL,FINE_ART_Scholarship _21/SPR,CLASS_21/SPR,ALTCUM_GPA_21/SPR,FINE_ARTS_Scholarship _21/SPR,MAJOR_FIXED_21/SPR,RETURN_BIN_21/SPR,Role_21/SPR,SPORT_21/SPR,Sport_21/SPR,FINE_ART_Scholarship _21/FAL,CLASS_21/FAL,ALTCUM_GPA_21/FAL,FINE_ARTS_Scholarship _21/FAL,MAJOR_FIXED_21/FAL,RETURN_BIN_21/FAL,Role_21/FAL,SPORT_21/FAL,Sport_21/FAL,FINE_ART_Scholarship _22/SPR,CLASS_22/SPR,ALTCUM_GPA_22/SPR,FINE_ARTS_Scholarship _22/SPR,MAJOR_FIXED_22/SPR,RETURN_BIN_22/SPR,Role_22/SPR,SPORT_22/SPR,Sport_22/SPR,FINE_ART_Scholarship _22/FAL,CLASS_22/FAL,ALTCUM_GPA_22/FAL,FINE_ARTS_Scholarship _22/FAL,MAJOR_FIXED_22/FAL,RETURN_BIN_22/FAL,Role_22/FAL,SPORT_22/FAL,Sport_22/FAL,FINE_ART_Scholarship _23/SPR,CLASS_23/SPR,ALTCUM_GPA_23/SPR,FINE_ARTS_Scholarship _23/SPR,MAJOR_FIXED_23/SPR,RETURN_BIN_23/SPR,Role_23/SPR,SPORT_23/SPR,Sport_23/SPR,FINE_ART_Scholarship _23/FAL,CLASS_23/FAL,ALTCUM_GPA_23/FAL,FINE_ARTS_Scholarship _23/FAL,MAJOR_FIXED_23/FAL,RETURN_BIN_23/FAL,Role_23/FAL,SPORT_23/FAL,Sport_23/FAL,FINE_ART_Scholarship _24/SPR,CLASS_24/SPR,ALTCUM_GPA_24/SPR,FINE_ARTS_Scholarship _24/SPR,MAJOR_FIXED_24/SPR,RETURN_BIN_24/SPR,Role_24/SPR,SPORT_24/SPR,Sport_24/SPR,FINE_ART_Scholarship _24/FAL,CLASS_24/FAL,ALTCUM_GPA_24/FAL,FINE_ARTS_Scholarship _24/FAL,MAJOR_FIXED_24/FAL,RETURN_BIN_24/FAL,Role_24/FAL,SPORT_24/FAL,Sport_24/FAL,FINE_ART_Scholarship _25/SPR,CLASS_25/SPR,ALTCUM_GPA_25/SPR,FINE_ARTS_Scholarship _25/SPR,MAJOR_FIXED_25/SPR,RETURN_BIN_25/SPR,Role_25/SPR,SPORT_25/SPR,Sport_25/SPR,ETHNICITY,RACE,RACE2,RACE3,GENDER,BIRTH_DATE,START_TERM,FIRST_GEN,RETURN?,RETURN_BIN,CONDITIONAL_ADMITS,PELL,ADMIT_STATUS,STA_FED_COHORT_GROUP,STATE,GRADS,PRIMARY_MAJOR,Membrshp Start Dt,Membrshp End Dt,years_org,SPORT_COUNT,INSTATE,RETENTION_BIN,INSTATE_BIN,PERSISTANCE_SO_JR_BIN,PERSISTANCE_JR_SR_BIN,ETHNICITY_BIN,RACE_BIN,GENDER_BIN,CONDITIONAL_ADMITS_BIN,FOOTBALL_BIN,FINAL_GPA
215324,NO,SR,2.363,,HIS,0,,,,,SR,2.275,NO,HIS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,2/19/1991,09/FAL,NO,Left,1,NO,YES,FR,09-10,,,HIS,,,,0,Out of State,0,1,0,0,0,0,0,0,0,2.275
263810,NO,SO,2.868,,BUS,0,Varsity,AFBA,Football,,SO,2.993,NO,AGR,0,Varsity,AFBA,Football,,JR,3.095,NO,AGR,0,Varsity,AFBA,Football,,SR,3.244,NO,AGR,0,Varsity,AFBA,Football,,SR,3.345,NO,AGR,1,Varsity,AFBA,Football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,5/29/2000,18/FAL,NO,Graduated,0,NO,NO,FR,18-19,NE,YES,AGR,8/1/2018,5/1/2022,3.75,1,In State,0,0,1,1,0,0,0,0,1,3.345
264536,NO,SR,2.799,,PSY,0,,,,,SR,2.902,NO,PSY,0,,,,,SR,2.93,YES,PSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,9/15/1998,16/FAL,NO,Graduated,0,NO,NO,FR,16-17,NE,YES,PSY,,,,0,In State,0,0,0,0,0,0,1,0,0,2.93
264633,NO,FR,0,,UND,0,Varsity,AMXC,M Cross Country,,FR,3.72,NO,SSI,0,Varsity,AMXC,M Cross Country,,SO,3.818,NO,SSI,0,Varsity,AMXC,M Cross Country,,SO,3.714,NO,SSI,0,Varsity,AMXC,M Cross Country,,JR,3.772,NO,SSI,0,Varsity,AMXC,M Cross Country,,JR,3.782,NO,SSI,0,Varsity,AMXC,M Cross Country,,SR,3.74,NO,HIS,0,Varsity,AMXC,M Cross Country,,SR,3.703,NO,HIS,1,Varsity,AMXC,M Cross Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,10/9/2000,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,HIS,8/1/2019,6/1/2023,3.84,1,In State,1,0,1,1,0,0,0,0,0,3.703
265222,YES,FR,0,,UND,0,,,,,SO,4,YES,EGR,0,,,,,SO,4,YES,EGR,0,,,,,JR,3.976,YES,EGR,0,,,,,JR,3.982,YES,EGR,0,,,,,SR,3.986,YES,EGR,0,,,,,SR,3.988,YES,EGR,0,,,,,SR,3.981,YES,EGR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,2/27/2001,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,EGR,,,,0,In State,1,0,1,1,0,0,0,0,0,3.981
267164,NO,SR,3.376,,LPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,4/15/1998,16/FAL,NO,Graduated,0,NO,NO,FR,16-17,SD,YES,,,,,0,Out of State,0,1,0,0,0,0,0,0,0,3.376
267517,NO,SO,2.673,,ELED,0,Member,ATRN,Athletic Trainers,,SO,2.789,NO,ELED,0,Member,ATRN,Athletic Trainers,,JR,3.006,NO,EXSCI,0,Member,ATRN,Athletic Trainers,,JR,2.946,NO,HHP,0,Member,ATRN,Athletic Trainers,,SR,2.989,NO,HHP,0,Member,ATRN,Athletic Trainers,,SR,2.802,NO,HHP,0,Member,ATRN,Athletic Trainers,,SR,2.778,NO,HHP,1,Member,ATRN,Athletic Trainers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,2/7/2000,18/FAL,NO,Graduated,0,NO,YES,FR,18-19,NE,YES,HHP,8/20/2020,,,1,In State,0,0,1,1,0,0,0,0,0,2.778
268355,YES,FR,0,,UND,0,,,,,FR,3.55,YES,MUS,0,,,,,SO,3.719,YES,MUS,0,,,,,SO,3.81,YES,MUS,0,,,,,JR,3.839,YES,MUS,0,,,,,SR,3.863,YES,MUS,0,,,,,SR,3.886,YES,MUS,0,,,,,SR,3.9,YES,MUS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,2/19/2001,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,MUS,,,,0,In State,1,0,1,1,0,0,1,0,0,3.9
268959,NO,JR,3.89,,ELED,0,Varsity,AWBB,W Basketball,,SR,3.9,NO,ELED,0,Varsity,AWBB,W Basketball,,SR,3.909,NO,ELED,0,Varsity,AWBB,W Basketball,,SR,3.914,NO,ELED,1,Varsity,AWBB,W Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,2/3/1999,17/FAL,NO,Graduated,0,NO,NO,FR,17-18,NE,YES,ELED,8/1/2017,5/1/2019,1.75,1,In State,0,0,0,1,0,0,1,0,0,3.914
271460,NO,JR,3.37,,ART,0,,,,,JR,3.523,NO,ART,0,,,,,SR,3.587,NO,ART,0,,,,,SR,3.659,NO,ART,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIS,WH,,,F,1/12/1997,18/FAL,NO,Graduated,0,NO,NO,TR,,NE,YES,ART,,,,0,In State,0,0,0,1,1,0,1,0,0,3.659
272040,NO,SR,3.915,,PSY,0,,,,,SR,3.919,NO,PSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,9/18/1998,16/FAL,NO,Graduated,0,NO,NO,FR,16-17,NE,YES,PSY,,,,0,In State,0,0,0,0,0,0,1,0,0,3.919
272077,NO,FR,0,,UND,0,Varsity,AWBB,W Basketball,,SO,3.256,NO,BIO,0,Varsity,AWBB,W Basketball,,SO,3.325,NO,BIO,0,Varsity,AWBB,W Basketball,,JR,3.461,NO,BIO,0,Varsity,AWBB,W Basketball,,JR,3.553,NO,BIO,0,Varsity,AWBB,W Basketball,,SR,3.594,NO,BIO,0,Varsity,AWBB,W Basketball,,SR,3.617,NO,BIO,0,Varsity,AWBB,W Basketball,,SR,3.639,NO,BIO,1,Varsity,AWBB,W Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,10/2/2000,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,BIO,8/1/2019,6/1/2023,3.84,1,In State,1,0,1,1,0,0,1,0,0,3.639
274969,NO,FR,0,,UND,0,Varsity,AVOL,Volleyball,,SO,3.647,NO,UND,0,Varsity,AVOL,Volleyball,,SO,3.657,NO,UND,0,Varsity,AVOL,Volleyball,,JR,3.688,NO,PSY,0,Varsity,AVOL,Volleyball,,SR,3.674,NO,PSY,0,Varsity,AVOL,Volleyball,,SR,3.652,NO,PSY,0,Varsity,AVOL,Volleyball,,SR,3.711,NO,PSY,0,Varsity,AVOL,Volleyball,,SR,3.722,NO,PSY,1,Varsity,AVOL,Volleyball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,3/15/2001,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,SD,YES,PSY,8/1/2019,6/1/2023,3.84,1,Out of State,1,1,1,1,0,0,1,0,0,3.722
276220,NO,SR,2.753,,HHP,0,Member,AWXC,W Cross Country,,SR,2.842,NO,HHP,1,Member,AWXC,W Cross Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,4/8/1998,16/FAL,NO,Graduated,0,NO,YES,FR,16-17,NE,YES,HHP,8/1/2016,5/1/2020,3.75,1,In State,0,0,0,0,0,0,1,0,0,2.842
276268,NO,SR,3.941,,BIO,0,Member,ATRN,Athletic Trainers,,SR,3.934,NO,BIO,0,Member,ATRN,Athletic Trainers,,SR,3.93,NO,BIO,0,Member,ATRN,Athletic Trainers,,SR,3.939,NO,BIO,1,Member,ATRN,Athletic Trainers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,12/17/1998,17/FAL,NO,Graduated,0,NO,YES,FR,17-18,NE,YES,BIO,8/20/2019,5/28/2020,0.77,1,In State,0,0,0,0,0,0,1,0,0,3.939
280131,NO,FR,0,,UND,0,Member,STSS,Spirit Squad,,FR,2.921,NO,ELED,0,Member,STSS,Spirit Squad,,SO,3.196,NO,ELED,0,Member,STSS,Spirit Squad,,SO,3.174,NO,ELED,0,Member,STSS,Spirit Squad,,JR,3.258,NO,ELED,0,Member,STSS,Spirit Squad,,JR,3.304,NO,ELED,0,Member,STSS,Spirit Squad,,SR,3.377,NO,ELED,0,Member,STSS,Spirit Squad,,SR,3.454,NO,ELED,1,Member,STSS,Spirit Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,4/21/2001,19/FAL,NO,Graduated,0,NO,YES,FR,19-20,NE,YES,ELED,9/1/2019,6/1/2021,1.75,1,In State,1,0,1,1,0,0,1,0,0,3.454
280883,NO,SO,3.243,,BIO,0,Varsity,AVOL,Volleyball,,SO,3.35,NO,HHP,0,Varsity,AVOL,Volleyball,,JR,3.434,NO,HHP,0,Varsity,AVOL,Volleyball,,JR,3.46,NO,HHP,1,Varsity,AVOL,Volleyball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,11/29/1999,18/FAL,NO,Left,1,NO,NO,FR,18-19,NE,,HHP,8/1/2018,5/1/2020,1.75,1,In State,0,0,1,0,0,0,1,0,0,3.46
283470,NO,FR,1.634,,UND,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,2/20/2000,18/FAL,NO,Left,1,NO,NO,FR,18-19,NE,,,,,,0,In State,0,0,0,0,0,0,0,0,0,1.634
283899,NO,SR,2.694,,SOC,0,,,,,SR,2.723,NO,SOC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,8/20/1997,16/FAL,NO,Graduated,0,NO,NO,FR,16-17,NE,YES,SOC,,,,0,In State,0,0,0,0,0,0,1,0,0,2.723
284105,NO,JR,2.745,,CSI,0,,,,,JR,2.899,NO,CSI,0,,,,,SR,3.009,NO,CSI,0,,,,,SR,2.917,NO,CSI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,2/20/1999,17/FAL,NO,Graduated,0,NO,NO,FR,17-18,NE,YES,CSI,,,,0,In State,0,0,0,1,0,0,0,0,0,2.917
287593,NO,SR,3.77,,SSI,0,,,,,SR,3.798,NO,SSI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,3/2/1998,16/FAL,NO,Graduated,0,NO,NO,FR,16-17,NE,YES,SSI,,,,0,In State,0,0,0,0,0,0,0,0,0,3.798
287616,NO,JR,2.984,,EGR,0,,,,,JR,3.127,NO,EGR,0,,,,,SR,3.159,NO,EGR,0,,,,,SR,3.182,NO,EGR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,3/5/1999,17/FAL,NO,Graduated,0,NO,NO,FR,17-18,NE,YES,EGR,,,,0,In State,0,0,0,1,0,0,0,0,0,3.182
287660,NO,SR,3.96,,BIOCM,0,Member,AMXC,M Cross Country,,SR,3.953,NO,BIOCM,1,Member,AMXC,M Cross Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,3/14/1998,16/FAL,NO,Graduated,0,NO,NO,FR,16-17,NE,YES,BIOCM,8/1/2018,5/1/2020,1.75,1,In State,0,0,0,0,0,0,0,0,0,3.953
288169,YES,FR,0,,UND,0,,,,,SO,3.86,YES,ELED,0,,,,,SO,3.928,YES,ELED,0,,,,,JR,3.954,YES,ELED,0,,,,,JR,3.92,YES,ELED,0,,,,,SR,3.937,YES,ELED,0,,,,,SR,3.93,YES,ELED,0,,,,,SR,3.938,YES,ELED,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,7/19/2001,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,ELED,,,,0,In State,1,0,1,1,0,0,1,0,0,3.938
288358,NO,SO,2.543,,UND,0,Varsity,AGOF,WGolf,,SO,2.527,NO,BIO,0,Varsity,AGOF,WGolf,,JR,2.321,NO,BIO,0,Varsity,AGOF,WGolf,,JR,2.299,NO,BIO,0,Varsity,AGOF,WGolf,,SR,2.228,NO,HSC,0,Varsity,AGOF,WGolf,,SR,2.356,NO,HSC,1,Varsity,AGOF,WGolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,8/2/1999,18/FAL,NO,Graduated,0,NO,NO,FR,18-19,NE,YES,HSC,8/1/2018,5/1/2022,3.75,1,In State,0,0,1,1,0,0,1,0,0,2.356
288474,YES,FR,0,,UND,0,,,,,FR,3.825,YES,UND,0,,,,,SO,3.922,YES,UND,0,,,,,SO,3.951,YES,PSY,0,,,,,JR,3.964,YES,PSY,0,,,,,JR,3.972,YES,PSY,0,,,,,SR,3.977,YES,PSY,0,,,,,SR,3.971,YES,PSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,9/29/2000,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,PSY,,,,0,In State,1,0,1,1,0,0,1,0,0,3.971
